Designator   ,Mid X,Mid Y,Layer,Rotation,Value,Footprint
C5,40.7,17.7,TOP,0,22uF,C1206
C6,40.7,15.2,TOP,0,22uF,C1206
CBOOT1,33.2,12.2,TOP,45,3.3uF,C1812
CHV1,6.15,36.9,TOP,180,"3.3uF, 100V",C2220K
CHV2,6.15,43.3,TOP,180,"3.3uF, 100V",C2220K
CVH3,6.15,30.5,TOP,180,"3.3uF, 100V",C2220K
CVH4,6.15,24.1,TOP,180,"3.3uF, 100V",C2220K
DBOOT1,39,7.3,TOP,0,,SMADIODE
DOV3,19.8,12.8,TOP,90,,SMADIODE
DOV4,62.1,23.2,TOP,270,,SMADIODE
DRVR_X,40.7,11.5,TOP,90,NCP5181,8-SOIC
DZ1,25.7,6.9,TOP,0,,SMADIODE
DZ15V1,27.7,16.5,TOP,0,"NZH15B,115",SODFL3718X115
DZ15V2,27.7,14,TOP,0,"NZH15B,115",SODFL3718X115
DZ15V3,54.8,7.5,TOP,0,"NZH15B,115",SODFL3718X115
DZ15V4,54.8,5.1,TOP,0,"NZH15B,115",SODFL3718X115
DZ2,25.7,10.4,TOP,0,,SMADIODE
DZ3,66,14.9,TOP,270,,SMADIODE
DZ4,65.9,23.2,TOP,270,,SMADIODE
GND3,53.5,11.5,TOP,90,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
GND4,14.5,12.8,TOP,270,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
GND5,62,33,TOP,180,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
INH,14.5,9.5,TOP,270,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
INL,47.5,11.5,TOP,90,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
L_12V,48.8,5,TOP,270,,CHIPLED_1206
L_VBAT,2.4,18.4,TOP,0,,CHIPLED_1206
NTC1,15.8,16.9,TOP,45,10k 3950k,R0805
OUTH,32.5,32.5,TOP,0,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
OUTL,58.5,35,TOP,0,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
QA_H5,22.33,26.83,TOP,90,IPB60R060P7ATMA1,D2PACK
QA_H6,22.33,40.83,TOP,90,IPB60R060P7ATMA1,D2PACK
QA_L5,46.33,26.83,TOP,90,IPB60R060P7ATMA1,D2PACK
QA_L6,46.33,40.83,TOP,90,IPB60R060P7ATMA1,D2PACK
RG5,53.39,21.3,TOP,0,8,R1206
RG6,55.3,37.01,TOP,270,8,R1206
RG7,31,21,TOP,0,8,R1206
RG8,31.77,36.91,TOP,270,8,R1206
RGS5,49.5,18.64,TOP,180,10k,R1206
RGS6,51.5,35.54,TOP,180,10k,R1206
RGS7,26,21,TOP,180,1M,R1206
RGS8,27.51,35.44,TOP,180,1M,R1206
RLD1,2.4,13.2,TOP,270,10k,R1206
RLD3,48.8,7.5,TOP,180,1k,R1206
SRC1,33.5,42.5,TOP,180,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT
SRC2,57.5,43,TOP,180,KEYSTONE_5190_SMT,KEYSTONE_5190_SMT